ID,Type,Product Code,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _last_editor_used_jetpack,Meta: _wp_page_template,Meta: pageview,Meta: _pos_visibility,Meta: making_charges,Meta: _making_charges,Meta: making_charges_discount,Meta: _making_charges_discount
,simple,GOM_BBS_1M-1000-1,Graceful Oddiyanam with Peacock Design,1,0,visible,"Enhance your elegance with the Graceful Oddiyanam, featuring a mesmerizing peacock design that symbolizes beauty and abundance, making it a perfect statement piece for any occasion. Embrace the regal allure of this exquisite waist belt, celebrating the grace and grandeur of Indian heritage.",Embrace grace and beauty with our Graceful Oddiyanam featuring a stunning peacock design. The intricate craftsmanship and elegant peacock motifs make this waist belt a perfect accessory for traditional occasions. Add a touch of charm and cultural richness to your ensemble with this exquisite piece of jewelry.,,,taxable,,1,100,,0,0,237.36,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-1.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-1.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-1.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,3.50%,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-2,Peacock Feathers Ottiyanam,1,0,visible,"Channel the allure of peacock feathers with our exquisite Peacock Feathers Ottiyanam, a stunning waist adornment featuring intricately crafted peacock motifs that radiate grace and beauty, adding a touch of regal splendor to your traditional attire. Elevate your look with this timeless piece that captures the captivating charm of peacocks, symbolizing joy, prosperity, and enchantment in Indian culture.","Add a touch of elegance to your traditional look with this Peacock Feathers Ottiyanam. Crafted with intricate detailing, this piece is a perfect choice to elevate your style quotient.",,,taxable,,1,100,,0,0,145.63,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-2.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-2.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-2.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-3,Majestic Mayuri Ottiyanam,1,0,visible,"Make a regal statement with this Majestic Mayuri Ottiyanam, adorned with intricate details and exquisite craftsmanship.","Adorn yourself with the regal beauty of the majestic peacock, symbolizing grace, pride, and joy with this stunning Majestic Mayuri Ottiyanam. Elevate your traditional attire with this exquisitely crafted piece of jewelry, perfect for festive occasions and weddings.",,,taxable,,1,100,,0,0,201.14,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-3.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-3.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-3.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-4,Krishna's Flute Ottiyanam,1,0,visible,"Embrace the divine melody of Lord Krishna's Flute Ottiyanam, an enchanting waist accessory adorned with intricate flute motifs, symbolizing love and harmony, enhancing your traditional look with a touch of celestial elegance and timeless beauty. Let the ethereal allure of this piece transport you to the divine realm, capturing the essence of Krishna's enchanting music and bringing a sense of spiritual serenity to your ensemble.",Krishna's Flute Ottiyanam is a traditional South Indian waist belt inspired by Lord Krishna's musical instrument; it is designed with intricate craftsmanship to enhance the wearer's beauty and elegance.,,,taxable,,1,100,,0,0,209.19,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-4.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-4.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-4.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-5,Ravishing Traditional Ottiyanam,1,0,visible,"Enhance your traditional elegance with the Ravishing Traditional Ottiyanam, a masterpiece of intricate craftsmanship and regal allure, designed to accentuate your waist and complement your ethnic attire with timeless charm, making you the center of attention at any occasion or celebration. Embrace the rich cultural heritage and royal splendor embodied in this ottiyanam, creating a captivating and unforgettable statement of grace and sophistication.","A ravishing traditional ottiyanam is an exquisite piece of jewelry that is perfect for weddings or special occasions. With intricate detailing and a regal appearance, this accessory adds a touch of elegance and sophistication to any ensemble.",,,taxable,,1,100,,0,0,164.59,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-5.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-5.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-5.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-6,Vaishnavi Divine Ottiyanam,1,0,visible,"Adorn yourself with the ethereal beauty of the Vaishnavi Divine Ottiyanam, a celestial masterpiece featuring divine motifs that exude grace and spirituality, elevating your traditional ensemble to a celestial realm of elegance and reverence. Embrace the intricate craftsmanship and sacred symbolism of this ottiyanam, paying homage to timeless traditions while radiating an aura of divinity and charm at every auspicious occasion.","This Vaishnavi Divine Ottiyanam is a beautifully crafted piece that exudes elegance and grace, perfect for adding a touch of divine charm to any traditional outfit. With intricate detailing and a stunning design, it is sure to be a treasured addition to any jewelry collection.",,,taxable,,1,100,,0,0,116.12,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-6.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-6.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-6.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-7,Lakshmi's Blessing Ottiyanam,1,0,visible,"Evoke the blessings of Goddess Lakshmi with the exquisitely crafted Lakshmi's Blessing Ottiyanam, adorned with sacred symbols and intricate details, symbolizing wealth and prosperity. Enhance your bridal ensemble or traditional attire with this divine piece, embodying the essence of abundance and grace, making you the epitome of timeless beauty and blessings at any auspicious event.","Lakshmi's Blessing Ottiyanam is a traditional waist belt adorned with intricate designs of the goddess of wealth and prosperity, Lakshmi, symbolizing blessings and good fortune.",,,taxable,,1,100,,0,0,95.42,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-7.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-7.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-7.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-8,Antique Lakshmi Ottiyanam,1,0,visible,"Add a touch of vintage charm to your traditional look with this Antique Lakshmi Ottiyanam, featuring intricate details and exquisite craftsmanship.",Antique Lakshmi Ottiyanam is a traditional South Indian waist jewelry that exudes timeless charm and is designed to showcase the intricate craftsmanship of ancient India.,,,taxable,,1,100,,0,0,93.98,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-8.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-8.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-8.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-9,Golden Goddess Ottiyanam,1,0,visible,"Embrace your inner goddess with this exquisite Golden Goddess Ottiyanam, featuring intricate detailing and a regal design.","Adorn yourself with this Golden Goddess Ottiyanam, featuring intricate craftsmanship and divine design that adds a touch of royalty to any traditional attire.",,,taxable,,1,100,,0,0,111.12,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-9.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-9.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-9.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
,simple,GOM_BBS_1M-1000-10,Pretty Peacock Ottiyanam,1,0,visible,"Make a statement with this enchanting Pretty Peacock Ottiyanam, featuring intricate detailing and a bold design inspired by the beauty of the peacock.","This pretty peacock Ottiyanam is a stunning piece of traditional Indian jewelry that exudes elegance and grace. With intricate details and sparkling embellishments, it's sure to be a showstopper at any event.",,,taxable,,1,100,,0,0,179.95,,,,1,,,,"All, All > Gold > Ottiyanam, All > Gold, Hot products, Hot products > New products",22kt,,"https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_1M-10.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_2M-10.webp,https://thiaworld.com/wp-content/uploads/2023/09/TW_GOM_BBS_3M-10.webp",,,,,,,,,0,Gold,22KT Gold,1,1,Value Added,23.80%,1,1,Discount,9.10%,1,1,GST,3%,1,1,,default,,,12,field_64388362b0faf,,field_643882cfb0fac
